Tipo;Produto;Ano;Quantidade
de_Mosto dessulfitado;Mosto dessulfitado;1977;0
de_Mistelas;Mistelas;1977;553200
de_Néctar de uva;Néctar de uva;1977;0
de_Licorosos;Licorosos;1977;525000
de_Compostos;Compostos;1977;0
de_Jeropiga;Jeropiga;1977;12500
de_Filtrado;Filtrado;1977;0
de_Frisante;Frisante;1977;0
de_Vinho leve;Vinho leve;1977;0
de_Vinho licoroso;Vinho licoroso;1977;0
de_Brandy;Brandy;1977;0
de_Destilado;Destilado;1977;0
de_Bagaceira;Bagaceira;1977;828000
de_Licor de bagaceira;Licor de bagaceira;1977;0
de_Vinagre;Vinagre;1977;0
de_Borra líquida;Borra líquida;1977;0
de_Borra seca;Borra seca;1977;0
de_Vinho Composto;Vinho Composto;1977;0
de_Pisco;Pisco;1977;0
de_Vinho orgânico;Vinho orgânico;1977;0
de_Espumante orgânico;Espumante orgânico;1977;0
de_Destilado alcoólico simples de bagaceira ;Destilado alcoólico simples de bagaceira ;1977;0
de_Vinho acidificado ;Vinho acidificado ;1977;0
de_Mosto parcialmente fermentado ;Mosto parcialmente fermentado ;1977;0
de_Outros derivados;Outros derivados;1977;0
VINHO DE MESA;VINHO DE MESA;1978;200053669
vm_Tinto;Tinto;1978;162917363
vm_Branco;Branco;1978;5079748
vm_Rosado;Rosado;1978;32056558
VINHO FINO DE MESA (VINÍFERA);VINHO FINO DE MESA (VINÍFERA);1978;36750933
vv_Tinto;Tinto;1978;15000671
vv_Branco;Branco;1978;17640081
vv_Rosado;Rosado;1978;4110181
SUCO;SUCO;1978;0
su_Suco de uva simples;Suco de uva integral;1978;0
su_Suco concentrado;Suco de uva concentrado;1978;0
su_Suco de uva adoçado;Suco de uva adoçado;1978;0
su_Suco de uva orgânico;Suco de uva orgânico;1978;0
su_Suco de uva reconstituído;Suco de uva reconstituído;1978;0
DERIVADOS;DERIVADOS;1978;41607777
de_Espumante;Espumante;1978;0
de_Espumante moscatel;Espumante moscatel;1978;0
de_Base espumante;Base espumante;1978;0
de_Base espumante moscatel;Base espumante moscatel;1978;0
de_Base Champenoise champanha;Base Champenoise champanha;1978;0
de_Base Charmat champanha;Base Charmat champanha;1978;0
de_Bebida de uva;Bebida de uva;1978;0
de_Polpa de uva;Polpa de uva;1978;0
de_Mosto simples;Mosto simples;1978;40052456
de_Mosto concentrado;Mosto concentrado;1978;0
de_Mosto de uva com bagaço;Mosto de uva com bagaço;1978;0
de_Mosto dessulfitado;Mosto dessulfitado;1978;0
de_Mistelas;Mistelas;1978;242150
de_Néctar de uva;Néctar de uva;1978;0
de_Licorosos;Licorosos;1978;479971
de_Compostos;Compostos;1978;75000
de_Jeropiga;Jeropiga;1978;60000
de_Filtrado;Filtrado;1978;0
de_Frisante;Frisante;1978;0
de_Vinho leve;Vinho leve;1978;0
de_Vinho licoroso;Vinho licoroso;1978;0
de_Brandy;Brandy;1978;0
de_Destilado;Destilado;1978;0
de_Bagaceira;Bagaceira;1978;698200
de_Licor de bagaceira;Licor de bagaceira;1978;0
de_Vinagre;Vinagre;1978;0
de_Borra líquida;Borra líquida;1978;0
de_Borra seca;Borra seca;1978;0
de_Vinho Composto;Vinho Composto;1978;0
de_Pisco;Pisco;1978;0
de_Vinho orgânico;Vinho orgânico;1978;0
de_Espumante orgânico;Espumante orgânico;1978;0
de_Destilado alcoólico simples de bagaceira ;Destilado alcoólico simples de bagaceira ;1978;0
de_Vinho acidificado ;Vinho acidificado ;1978;0
de_Mosto parcialmente fermentado ;Mosto parcialmente fermentado ;1978;0
de_Outros derivados;Outros derivados;1978;0
